3,Bhaskar maheshwari,9801834992,bhaskar.mah@gmail.com,Bangalore,4,2015-10-28 00:00:00.000,2016-11-28 00:00:00.000,12000,Technicolor,Working,0
13,Mitali gupta,8796751238,mitali.gupta80@gmail.com,Pune,12,2015-02-25 00:00:00.000,NULL,12000,SAP Labs India,Working,0
2,Ashish Singh,9876890463,ashish.singh@gmail.com,Bangalore,2,2015-06-05 00:00:00.000,NULL,11000,hindustan unilever,Working,0
12,Umang parejiya,7896543674,uparejiya@gmail.com,Pune,15,2015-02-24 00:00:00.000,NULL,11000,Centurylink India,Working,0
6,Harish sahai,9876548763,harish294all@gmail.com,Bangalore,8,2015-12-25 00:00:00.000,NULL,10200,Aditya birla,Working,0
5,Tanvi mann,9178352769,tanvi.mann1907@gmail.com,Bangalore,3,2015-05-15 00:00:00.000,2015-12-27 00:00:00.000,9000,GE Healthcare,Working,0
4,Garima yadav,81059237004,garima0191@gmail.com,Bangalore,1,2015-04-26 00:00:00.000,NULL,8000,NULL,Student,0
11,Deepa sudhakar,7896785432,sudhakar.deepa@gmail.com,Pune,19,2015-08-29 00:00:00.000,2016-06-14 00:00:00.000,8000,NULL,Student,0
9,Shivshankar das,9801834992,sankar.shiva730@gmail.com,Pune,9,2015-10-15 00:00:00.000,NULL,7500,NULL,Student,0
10,Aditi jain,9873123456,aditi.jain@sproxil.com,Pune,10,2015-06-20 00:00:00.000,NULL,7500,huawei Technologies,Working,0
1,anusha pariti,8105987404,anusha.pariti@gmail.com,Bangalore,5,2015-02-12 00:00:00.000,2016-04-30 00:00:00.000,7500,Sabre,Working,9
8,Tushar kapoor,8926537154,tushar.kapoor21@gmail.com,Pune,7,2015-11-10 00:00:00.000,2016-12-31 00:00:00.000,7200,NULL,Student,0
7,Kamal gera,8105987404,kamal0094@gmail.com,Bangalore,6,2015-11-20 00:00:00.000,NULL,6500,NULL,Student,0
